comment_id	comment_length	author	city	age
505611	3	10455553	Днепропетровск_(Днепр)	0
505612	4	31669488	0	0
505613	2	275462619	0	64
505614	6	136629932	0	0
505632	1	320847594	Санкт-Петербург	0
505635	1	16824714	Москва	0
505644	6	181757192	Харьков	0
505646	2	148392652	Киров	25
505647	3	152095700	Калининград	0
505648	6	174818385	Рязань	110
505649	4	455312	Санкт-Петербург	27
505650	1	112661299	Брест	21
505652	5	15070090	Северодвинск	17
505653	12	124548612	Череповец	23
505655	5	414780165	Норильск	108
505660	13	302154372	Тюмень	0
505661	4	17529437	Одесса	0
505664	5	382842280	Москва	27
505668	8	6062694	Madrid	31
505669	35	215889679	Оренбург	0
505671	4	28889638	Магнитогорск	31
505794	5	65514548	Черга	20
505811	4	308210205	Ялта	0
505841	8	6062694	Madrid	31
505943	5	181033941	0	85
505488	3	163436191	0	0
505490	5	12050724	Москва	0
505492	13	15907555	Киев	31
505493	1	54886809	Новосибирск	28
505494	3	8799245	0	0
505495	3	21201404	Санкт-Петербург	0
505496	8	32383150	Волгоград	0
505497	5	86350626	Минск	23
505498	5	3105167	Тель-Авив	24
505500	4	11315712	0	25
505501	13	3105167	Тель-Авив	24
505503	4	156188412	Санкт-Петербург	0
505505	9	28390665	0	0
505507	2	285176567	0	0
505510	3	7743199	Санкт-Петербург	0
505511	9	76589005	Санкт-Петербург	24
505512	15	18915562	0	34
505514	12	188094877	0	21
505515	4	309847525	Kingston	24
505516	19	3105167	Тель-Авив	24
505517	10	173489181	0	29
505518	8	173489181	0	29
505519	9	98940588	Донецк	0
505522	54	284262078	Витебск	0
505523	8	135553977	0	0
505524	32	35001846	0	0
505525	8	3105167	Тель-Авив	24
505526	22	3105167	Тель-Авив	24
505528	22	65430712	0	19
505530	5	110524586	Санкт-Петербург	16
505584	2	11788	Москва	0
505590	5	657641	Москва	29
505601	8	62469060	Сургут	24
505603	4	48084030	0	0
505628	2	3491719	Санкт-Петербург	26
505629	3	3491719	Санкт-Петербург	26
505636	5	137415778	Phuket	28
505662	2	329001690	Москва	0
505675	9	168249549	Ростов-на-Дону	0
505477	6	305714165	Пенза	0
505479	1	205697400	Ижевск	0
505480	4	2390259	Саратов	0
505803	5	1320506	Москва	0
505453	1	247788775	0	99
505455	4	184326167	Санкт-Петербург	25
505456	2	7871003	0	25
505457	16	184326167	Санкт-Петербург	25
505458	8	134963997	Запорожье	22
505459	9	85860468	0	20
505460	16	141229365	0	19
505461	4	68246620	0	0
505463	7	176115690	Санкт-Петербург	0
505464	7	79680363	0	0
505472	2	293372865	Москва	0
505483	5	170737771	Ивано-Франковск	0
505529	4	14443785	Москва	47
505634	6	90153957	Минск	20
505663	5	162063948	0	0
505802	18	342564490	0	0
506093	11	99302023	Gdansk	0
505423	7	172028300	Уфа	21
505424	5	326617211	Nice	0
505425	5	2328015	Москва	32
505427	6	250898711	Москва	0
505428	11	313361481	0	0
505430	14	141229365	0	19
505431	4	255676580	Чебоксары	0
505433	14	162697115	Новосибирск	0
505435	5	236481018	Барановичи	0
505437	3	1427938	Санкт-Петербург	0
505438	9	166774994	Санкт-Петербург	17
505439	1	323397631	Усть-Каменогорск	0
505448	19	162697115	Новосибирск	0
505468	1	178737221	Оренбург	0
505513	1	17077011	0	0
505666	1	17041231	0	23
505391	4	204691	Saint_Petersburg	29
505393	1	176790328	Sealand	0
505394	10	217053959	Москва	19
505395	9	410105983	0	0
505397	5	199104554	Одесса	0
505398	7	114089745	0	20
505400	5	98239440	Самара	23
505401	8	173679223	Красноярск	20
505404	8	21226183	Москва	19
505406	1	801200	Ростов-на-Дону	30
505407	20	36603117	Тюмень	0
505408	23	194882660	0	20
505409	4	352370430	Пермь	0
505410	13	36603117	Тюмень	0
505411	20	378143310	0	29
505412	12	331229254	Петропавловск	36
505413	11	1118266	Москва	0
505415	3	8799245	0	0
505416	5	137492600	Грозный	30
505417	1	3710150	Пытьки	0
505418	12	12555548	Санкт-Петербург	34
505419	11	13389901	0	0
505422	7	410105983	0	0
505432	2	291757384	Юрга	29
505436	10	2359537	Челябинск	26
505445	1	71076851	0	0
505504	19	64143907	Череповец	0
505658	34	3424185	Москва	24
505672	14	687466	Кильдинстрой	0
505367	8	367662416	Нефтеюганск	0
505368	5	298457283	Киев	25
505369	3	44328023	0	0
505370	6	185912414	0	19
505371	7	276624003	Москва	19
505372	3	298457283	Киев	25
505373	3	44328023	0	0
505375	10	22797052	Ярославль	0
505376	8	1761075	Великий_Новгород	34
505380	5	217053959	Москва	19
505387	12	4197460	0	27
505449	2	6248687	Биробиджан	23
505462	9	332875907	0	20
505466	15	270349746	Костанай	21
505604	7	92295861	Верхняя_Пышма	17
505656	12	413560686	0	0
505670	1	1682139	0	25
505741	9	43113036	Москва	0
505354	2	405384315	Махачкала	20
505355	16	4283215	Радужный	27
505359	1	242461987	Кишинев	25
505360	8	306585397	Долгопрудный	0
505362	1	383650751	0	0
505363	3	19584612	0	0
505364	5	5793364	0	0
505383	3	171138810	0	20
505385	9	306585397	Долгопрудный	0
505386	6	306585397	Долгопрудный	0
505440	7	5793364	0	0
505467	5	306585397	Долгопрудный	0
505469	9	5793364	0	0
505470	2	306585397	Долгопрудный	0
505471	12	5793364	0	0
505473	10	306585397	Долгопрудный	0
505474	36	5793364	0	0
505481	15	306585397	Долгопрудный	0
505482	26	5793364	0	0
505521	7	306585397	Долгопрудный	0
505531	13	5793364	0	0
505676	1	260133318	Куст	0
505317	2	218862036	Ульяновск	17
505322	13	252569101	Новосибирск	23
505323	1	217053959	Москва	19
505324	3	153132164	0	0
505325	1	16919032	Благовещенск	29
505326	3	4393170	Пермь	0
505335	3	2030958	0	0
505337	5	818874	Москва	0
505343	1	818874	Москва	0
505378	7	85183915	Междуреченск	0
505381	3	153132164	0	0
505414	2	309279005	0	0
505499	3	306242650	Berlin	0
505296	2	13206462	Санкт-Петербург	32
505297	4	38849218	0	0
505298	3	147751116	Санкт-Петербург	0
505299	3	50098182	Москва	0
505301	2	280509813	Волгоград	0
505302	6	118325785	0	0
505303	15	247934386	Самара	21
505304	1	151782700	0	0
505305	1	378995265	0	0
505306	8	50531081	Херсон	24
505311	8	280782026	0	25
505313	4	40301754	Санкт-Петербург	20
505314	3	380057209	Ярославль	0
